SIREN,Nombre etablissements,dont ouverts,SIRET,Dénomination sociale,Nom complet,Adresse,Latitude,Longitude,Dirigeants,Finances
662025196,7016,2921,66202519659422,ELIOR RESTAURATION FRANCE,ELIOR RESTAURATION FRANCE,145 RUE VICTOR HUGO 62221 NOYELLES-SOUS-LENS,50.42499,2.874829,"[{'nom': 'DERICHEBOURG', 'prenoms': 'BORIS', 'annee_de_naissance': '1978', 'date_de_naissance': '1978-03', 'qualite': 'Président de SAS', 'nationalite': 'Française', 'type_dirigeant': 'personne physique'}, {'siren': '315172445', 'denomination': 'BEAS,', 'qualite': 'Commissaire aux comptes suppléant', 'type_dirigeant': 'personne morale'}, {'siren': '380543819', 'denomination': 'ELIOR RESTAURATION ET SERVICES', 'qualite': 'Administrateur', 'type_dirigeant': 'personne morale'}, {'siren': '384548525', 'denomination': 'ELIOR GESTION', 'qualite': 'Administrateur', 'type_dirigeant': 'personne morale'}, {'siren': '572028041', 'denomination': 'DELOITTE & ASSOCIES,', 'qualite': 'Commissaire aux comptes titulaire', 'type_dirigeant': 'personne morale'}]","{'2022': {'ca': 706875596, 'resultat_net': -97234385}}"
662025196,7016,2921,66202519659489,ELIOR RESTAURATION FRANCE,ELIOR RESTAURATION FRANCE,CAMPE DE ROSAMEL 2 RUE DE SAINT GABRIEL 62176 CAMIERS,50.568982,1.610842,"[{'nom': 'DERICHEBOURG', 'prenoms': 'BORIS', 'annee_de_naissance': '1978', 'date_de_naissance': '1978-03', 'qualite': 'Président de SAS', 'nationalite': 'Française', 'type_dirigeant': 'personne physique'}, {'siren': '315172445', 'denomination': 'BEAS,', 'qualite': 'Commissaire aux comptes suppléant', 'type_dirigeant': 'personne morale'}, {'siren': '380543819', 'denomination': 'ELIOR RESTAURATION ET SERVICES', 'qualite': 'Administrateur', 'type_dirigeant': 'personne morale'}, {'siren': '384548525', 'denomination': 'ELIOR GESTION', 'qualite': 'Administrateur', 'type_dirigeant': 'personne morale'}, {'siren': '572028041', 'denomination': 'DELOITTE & ASSOCIES,', 'qualite': 'Commissaire aux comptes titulaire', 'type_dirigeant': 'personne morale'}]","{'2022': {'ca': 706875596, 'resultat_net': -97234385}}"
662025196,7016,2921,66202519659612,ELIOR RESTAURATION FRANCE,ELIOR RESTAURATION FRANCE,1 RUE NATIONALE 62120 WITTERNESSE,50.612088,2.369017,"[{'nom': 'DERICHEBOURG', 'prenoms': 'BORIS', 'annee_de_naissance': '1978', 'date_de_naissance': '1978-03', 'qualite': 'Président de SAS', 'nationalite': 'Française', 'type_dirigeant': 'personne physique'}, {'siren': '315172445', 'denomination': 'BEAS,', 'qualite': 'Commissaire aux comptes suppléant', 'type_dirigeant': 'personne morale'}, {'siren': '380543819', 'denomination': 'ELIOR RESTAURATION ET SERVICES', 'qualite': 'Administrateur', 'type_dirigeant': 'personne morale'}, {'siren': '384548525', 'denomination': 'ELIOR GESTION', 'qualite': 'Administrateur', 'type_dirigeant': 'personne morale'}, {'siren': '572028041', 'denomination': 'DELOITTE & ASSOCIES,', 'qualite': 'Commissaire aux comptes titulaire', 'type_dirigeant': 'personne morale'}]","{'2022': {'ca': 706875596, 'resultat_net': -97234385}}"
662025196,7016,2921,66202519660214,ELIOR RESTAURATION FRANCE,ELIOR RESTAURATION FRANCE,LA BOUSSOLE 1 PL PERCHE 62640 MONTIGNY EN GOHELLE,50.428907,2.932969,"[{'nom': 'DERICHEBOURG', 'prenoms': 'BORIS', 'annee_de_naissance': '1978', 'date_de_naissance': '1978-03', 'qualite': 'Président de SAS', 'nationalite': 'Française', 'type_dirigeant': 'personne physique'}, {'siren': '315172445', 'denomination': 'BEAS,', 'qualite': 'Commissaire aux comptes suppléant', 'type_dirigeant': 'personne morale'}, {'siren': '380543819', 'denomination': 'ELIOR RESTAURATION ET SERVICES', 'qualite': 'Administrateur', 'type_dirigeant': 'personne morale'}, {'siren': '384548525', 'denomination': 'ELIOR GESTION', 'qualite': 'Administrateur', 'type_dirigeant': 'personne morale'}, {'siren': '572028041', 'denomination': 'DELOITTE & ASSOCIES,', 'qualite': 'Commissaire aux comptes titulaire', 'type_dirigeant': 'personne morale'}]","{'2022': {'ca': 706875596, 'resultat_net': -97234385}}"
662025196,7016,2921,66202519660529,ELIOR RESTAURATION FRANCE,ELIOR RESTAURATION FRANCE,1 RUE FRANCOIS MITTERRAND 62138 BILLY-BERCLAU,50.522693,2.869045,"[{'nom': 'DERICHEBOURG', 'prenoms': 'BORIS', 'annee_de_naissance': '1978', 'date_de_naissance': '1978-03', 'qualite': 'Président de SAS', 'nationalite': 'Française', 'type_dirigeant': 'personne physique'}, {'siren': '315172445', 'denomination': 'BEAS,', 'qualite': 'Commissaire aux comptes suppléant', 'type_dirigeant': 'personne morale'}, {'siren': '380543819', 'denomination': 'ELIOR RESTAURATION ET SERVICES', 'qualite': 'Administrateur', 'type_dirigeant': 'personne morale'}, {'siren': '384548525', 'denomination': 'ELIOR GESTION', 'qualite': 'Administrateur', 'type_dirigeant': 'personne morale'}, {'siren': '572028041', 'denomination': 'DELOITTE & ASSOCIES,', 'qualite': 'Commissaire aux comptes titulaire', 'type_dirigeant': 'personne morale'}]","{'2022': {'ca': 706875596, 'resultat_net': -97234385}}"
662025196,7016,2921,66202519660628,ELIOR RESTAURATION FRANCE,ELIOR RESTAURATION FRANCE,1 AVENUE FRANCOIS MITTERRAND 62790 LEFOREST,50.436215,3.05749,"[{'nom': 'DERICHEBOURG', 'prenoms': 'BORIS', 'annee_de_naissance': '1978', 'date_de_naissance': '1978-03', 'qualite': 'Président de SAS', 'nationalite': 'Française', 'type_dirigeant': 'personne physique'}, {'siren': '315172445', 'denomination': 'BEAS,', 'qualite': 'Commissaire aux comptes suppléant', 'type_dirigeant': 'personne morale'}, {'siren': '380543819', 'denomination': 'ELIOR RESTAURATION ET SERVICES', 'qualite': 'Administrateur', 'type_dirigeant': 'personne morale'}, {'siren': '384548525', 'denomination': 'ELIOR GESTION', 'qualite': 'Administrateur', 'type_dirigeant': 'personne morale'}, {'siren': '572028041', 'denomination': 'DELOITTE & ASSOCIES,', 'qualite': 'Commissaire aux comptes titulaire', 'type_dirigeant': 'personne morale'}]","{'2022': {'ca': 706875596, 'resultat_net': -97234385}}"
662025196,7016,2921,66202519660677,ELIOR RESTAURATION FRANCE,ELIOR RESTAURATION FRANCE,1 RUE LOUISE MICHEL 62110 HENIN-BEAUMONT,50.410816,2.936065,"[{'nom': 'DERICHEBOURG', 'prenoms': 'BORIS', 'annee_de_naissance': '1978', 'date_de_naissance': '1978-03', 'qualite': 'Président de SAS', 'nationalite': 'Française', 'type_dirigeant': 'personne physique'}, {'siren': '315172445', 'denomination': 'BEAS,', 'qualite': 'Commissaire aux comptes suppléant', 'type_dirigeant': 'personne morale'}, {'siren': '380543819', 'denomination': 'ELIOR RESTAURATION ET SERVICES', 'qualite': 'Administrateur', 'type_dirigeant': 'personne morale'}, {'siren': '384548525', 'denomination': 'ELIOR GESTION', 'qualite': 'Administrateur', 'type_dirigeant': 'personne morale'}, {'siren': '572028041', 'denomination': 'DELOITTE & ASSOCIES,', 'qualite': 'Commissaire aux comptes titulaire', 'type_dirigeant': 'personne morale'}]","{'2022': {'ca': 706875596, 'resultat_net': -97234385}}"
662025196,7016,2921,66202519660925,ELIOR RESTAURATION FRANCE,ELIOR RESTAURATION FRANCE,RUE DE BLENDECQUES 62570 HELFAUT,50.69996,2.244335,"[{'nom': 'DERICHEBOURG', 'prenoms': 'BORIS', 'annee_de_naissance': '1978', 'date_de_naissance': '1978-03', 'qualite': 'Président de SAS', 'nationalite': 'Française', 'type_dirigeant': 'personne physique'}, {'siren': '315172445', 'denomination': 'BEAS,', 'qualite': 'Commissaire aux comptes suppléant', 'type_dirigeant': 'personne morale'}, {'siren': '380543819', 'denomination': 'ELIOR RESTAURATION ET SERVICES', 'qualite': 'Administrateur', 'type_dirigeant': 'personne morale'}, {'siren': '384548525', 'denomination': 'ELIOR GESTION', 'qualite': 'Administrateur', 'type_dirigeant': 'personne morale'}, {'siren': '572028041', 'denomination': 'DELOITTE & ASSOCIES,', 'qualite': 'Commissaire aux comptes titulaire', 'type_dirigeant': 'personne morale'}]","{'2022': {'ca': 706875596, 'resultat_net': -97234385}}"
662025196,7016,2921,66202519661790,ELIOR RESTAURATION FRANCE,ELIOR RESTAURATION FRANCE,RUE ALBERT SAUSSEZ 62320 DROCOURT,50.39028,2.924466,"[{'nom': 'DERICHEBOURG', 'prenoms': 'BORIS', 'annee_de_naissance': '1978', 'date_de_naissance': '1978-03', 'qualite': 'Président de SAS', 'nationalite': 'Française', 'type_dirigeant': 'personne physique'}, {'siren': '315172445', 'denomination': 'BEAS,', 'qualite': 'Commissaire aux comptes suppléant', 'type_dirigeant': 'personne morale'}, {'siren': '380543819', 'denomination': 'ELIOR RESTAURATION ET SERVICES', 'qualite': 'Administrateur', 'type_dirigeant': 'personne morale'}, {'siren': '384548525', 'denomination': 'ELIOR GESTION', 'qualite': 'Administrateur', 'type_dirigeant': 'personne morale'}, {'siren': '572028041', 'denomination': 'DELOITTE & ASSOCIES,', 'qualite': 'Commissaire aux comptes titulaire', 'type_dirigeant': 'personne morale'}]","{'2022': {'ca': 706875596, 'resultat_net': -97234385}}"
662025196,7016,2921,66202519663226,ELIOR RESTAURATION FRANCE,ELIOR RESTAURATION FRANCE,41 RUE DU GENERAL LECLERC 62660 BEUVRY,50.516238,2.689387,"[{'nom': 'DERICHEBOURG', 'prenoms': 'BORIS', 'annee_de_naissance': '1978', 'date_de_naissance': '1978-03', 'qualite': 'Président de SAS', 'nationalite': 'Française', 'type_dirigeant': 'personne physique'}, {'siren': '315172445', 'denomination': 'BEAS,', 'qualite': 'Commissaire aux comptes suppléant', 'type_dirigeant': 'personne morale'}, {'siren': '380543819', 'denomination': 'ELIOR RESTAURATION ET SERVICES', 'qualite': 'Administrateur', 'type_dirigeant': 'personne morale'}, {'siren': '384548525', 'denomination': 'ELIOR GESTION', 'qualite': 'Administrateur', 'type_dirigeant': 'personne morale'}, {'siren': '572028041', 'denomination': 'DELOITTE & ASSOCIES,', 'qualite': 'Commissaire aux comptes titulaire', 'type_dirigeant': 'personne morale'}]","{'2022': {'ca': 706875596, 'resultat_net': -97234385}}"
